1608293291	33762	274231	34072
1608293301	33893	275402	34201
1608293311	33995	276187	34298
1608293325	34259	278296	34558
1608293335	34492	280017	34792
1608293345	34619	281139	34924
1608293355	34923	283732	35244
1608293367	35087	284919	35377
1608293377	35378	287402	35681
1608293387	35601	289306	35915
1608293397	35816	290954	36105
1608293407	36175	293892	36505
1608293417	36442	296137	36778
1608293429	36587	297361	36925
1608293439	36802	299116	37131
1608293449	36918	300089	37256
1608293459	37047	301149	37377
1608293469	37247	302948	37576
1608293481	37630	305869	37959
1608293496	37798	307233	38130
1608293510	37979	308525	38294
1608293522	38139	309723	38439
1608293532	38337	311316	38631
1608293542	38591	313350	38870
1608293552	38743	314689	39031
1608293566	38899	315943	39196
1608293577	39044	317066	39355
1608293587	39169	318026	39475
1608293597	39389	319732	39700
1608293607	39627	321596	39929
1608293617	39744	322601	40038
1608293627	39861	323603	40158
1608293637	40020	325142	40350
1608293647	40204	326819	40564
1608293657	40503	328900	40842
1608293667	40777	331019	41078
1608293677	40884	332028	41201
1608293687	41172	334187	41452
1608293697	41359	335852	41648
1608293707	41496	336840	41793
1608293717	41698	338455	41973
1608293727	41888	339977	42163
1608293737	41997	340977	42276
1608293747	42137	341984	42416
1608293757	42252	342925	42541
1608293767	42368	343915	42678
1608293777	42483	344903	42806
1608293787	42616	345879	42935
1608293797	42741	346891	43030
1608293807	42858	347871	43174
1608294064	43117	349975	43437
1608294074	43227	350893	43547
1608294084	43522	352979	43827
1608294094	43956	356567	44272
1608294190	44067	357564	44404
1608294200	44222	359139	44587
1608294210	44416	360892	44802
1608294220	44591	362432	44996
1608294230	44853	364666	45262
1608294240	45161	366925	45522
1608294250	45422	369068	45773
1608294260	45858	372439	46155
1608294270	45996	373414	46285
1608294280	46116	374405	46409
1608294292	46328	376144	46636
1608294302	46467	377252	46776
1608294312	46741	379453	47034
1608294322	46961	381087	47239
1608294333	47084	382081	47359
1608294343	47310	383834	47572
1608294405	47418	384715	47687
1608294415	47606	386378	47886
1608294425	47815	388014	48091
1608294435	47928	389071	48221
1608294445	48156	391180	48483
1608294455	48270	392187	48603
1608294467	48514	393927	48834
1608294479	48734	395772	49072
1608294491	48946	397613	49297
1608294501	49084	398623	49414
1608294511	49252	400091	49606
1608294521	49388	401092	49718
1608294531	49611	402911	49955
1608294543	49815	404698	50156
1608294555	50078	406609	50385
1608294616	50147	407452	50485
1608294628	50327	408689	50659
1608294638	50446	409819	50776
1608294650	50653	411609	50987
1608294661	50795	412708	51127
1608294671	51011	414363	51340
1608294681	51309	416687	51598
1608294691	51434	417656	51736
1608294701	51546	418663	51863
1608294711	51841	420907	52203
1608294721	51974	421829	52337
1608294731	52253	424053	52605
1608294741	52380	425030	52740
1608294751	52500	426037	52849
1608294761	52859	428863	53255
1608294771	52971	429871	53366
1608294781	53181	431614	53548
1608294847	53366	433248	53771
1608294859	53492	434225	53906
1608294869	53694	435881	54110
1608294879	53812	436865	54242
1608294889	53945	437854	54357
1608294899	54111	439350	54572
1608294909	54293	440823	54750
1608294919	54436	441849	54876
1608294929	54548	442799	54991
1608294939	54746	444463	55189
1608294949	54865	445467	55305
1608294959	55117	447604	55538
1608294969	55247	448587	55666
1608294979	55368	449574	55792
1608294989	55482	450572	55915
1608294999	55678	452214	56140
1608295009	55793	453223	56254
1608295019	55962	454871	56436
1608295030	56344	457677	56759
1608295040	56480	458645	56863
1608295050	56602	459635	56977
1608295060	56832	461451	57211
1608295070	57084	463698	57467
1608295080	57389	466214	57760
1608295090	57492	467161	57879
1608295100	57827	469969	58207
1608295110	58008	471606	58434
1608295120	58202	473228	58644
1608295130	58320	474279	58758
1608295140	58607	476285	58996
1608295150	58887	478581	59296
1608295160	59004	479655	59434
1608295170	59129	480774	59564
1608295180	59309	482223	59756
1608295190	59431	483223	59873
1608295200	59535	484230	59999
1608295210	59725	485927	60172
1608295220	59876	486919	60304
1608295230	60090	488658	60548
1608295242	60210	489760	60683
1608295252	60439	491501	60915
1608295262	60644	493191	61126
1608295272	60902	495169	61343
1608295282	61030	496149	61463
1608295292	61165	497206	61579
1608295304	61406	499048	61805
1608295316	61549	500142	61950
1608295328	61693	501283	62084
1608295338	61804	502240	62196
1608295348	61953	503290	62334
1608295360	62266	505660	62644
1608295372	62500	507452	62875
1608295382	62726	509236	63102
1608295392	62862	510161	63224
1608295404	63005	511230	63329
1608295415	63150	512307	63474
1608295426	63426	514688	63786
1608295436	63543	515671	63903
1608295448	63713	517014	64038
